Vardas Pavarde ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 ND10 Egzaminas
Jonas Jankauskas 8 8 5 5 4 1 10 9 8 4 3
Kazys Jonaitis 5 4 3 10 9 9 7 7 10 10 4
Darius Kazlauskas 9 7 1 2 3 1 4 6 8 3 7
Jonas Petraitis 4 2 1 2 2 10 6 7 1 9 9
Mantas Kazlauskas 10 3 8 9 6 2 10 5 7 7 6
Marius Jonaitis 10 1 8 5 2 9 9 4 9 8 2
Jonas Jonaitis 8 4 7 9 7 8 9 1 3 5 5
Kazys Kazlauskas 7 1 1 10 2 3 10 3 1 3 2
Paulius Brazinskas 7 2 5 6 3 2 8 8 7 1 8
Petras Jonaitis 2 2 9 8 1 3 8 10 6 1 3
Paulius Kazlauskas 8 3 5 10 7 9 3 2 3 6 7
Marius Stankevicius 4 1 10 10 2 7 3 10 4 4 9
Petras Kavaliauskas 10 5 5 2 2 10 9 10 7 8 6
Marius Kazlauskas 2 3 2 10 2 9 4 1 3 10 4
Jonas Brazinskas 3 4 7 6 8 1 6 7 2 10 8
Marius Kavolis 4 8 8 4 1 2 4 9 1 1 5
Jonas Kavaliauskas 8 10 2 3 2 10 6 1 4 3 9
Lukas Kavolis 4 10 9 9 2 8 6 3 10 9 7
Marius Stankevicius 1 5 4 6 4 9 1 6 6 9 4
Paulius Stankevicius 3 2 3 3 9 7 9 3 1 3 4
Antanas Stankevicius 2 5 6 8 5 1 9 8 8 4 10
Petras Kazlauskas 6 8 2 5 10 2 4 2 4 4 6
Kazys Petraitis 10 3 5 4 7 10 2 4 5 6 10
Antanas Zukauskas 6 4 4 8 5 3 6 6 6 10 9
Lukas Jankauskas 7 9 2 6 7 2 9 3 8 5 9
Antanas Kavaliauskas 3 3 1 9 1 10 10 9 1 10 8
Lukas Kazlauskas 3 2 6 2 4 5 4 3 1 3 5
Kazys Kavolis 7 5 9 1 6 6 3 4 4 3 6
Jonas Kazlauskas 4 7 2 10 3 10 2 3 7 1 10
Paulius Jonaitis 8 9 9 2 8 1 3 1 1 2 7
Mantas Stankevicius 9 7 9 10 6 4 10 10 8 7 2
Jonas Kazlauskas 1 7 2 3 8 2 1 3 5 7 9
Darius Brazinskas 1 8 1 4 9 7 4 9 8 4 2
Tomas Kazlauskas 7 8 1 8 8 7 10 9 3 6 9
Mantas Brazinskas 9 8 8 6 5 7 2 6 10 9 1
Paulius Jonaitis 4 3 5 9 4 1 7 6 5 2 4
Kazys Zukauskas 7 7 4 7 9 4 3 6 2 5 6
Paulius Brazinskas 6 2 10 5 4 9 2 5 8 7 1
Petras Zukauskas 10 3 7 6 4 4 10 6 3 7 5
Darius Jonaitis 1 4 9 7 5 8 4 8 2 4 10
Lukas Petraitis 7 1 10 8 7 10 6 7 4 1 9
Mantas Jankauskas 6 1 7 6 10 1 9 1 5 1 10
Tomas Kavaliauskas 1 4 10 5 4 2 2 2 2 6 5
Tomas Stankevicius 2 4 10 1 7 5 6 4 7 9 5
Mantas Stankevicius 4 3 10 4 6 6 4 10 6 9 8
Antanas Jonaitis 2 9 9 7 7 9 4 7 7 5 8
Marius Stankevicius 6 2 7 8 5 5 1 6 7 10 1
Lukas Jonaitis 2 10 3 3 3 2 10 10 7 6 4
Paulius Zukauskas 10 10 7 6 4 5 10 4 2 1 2
Jonas Jankauskas 10 5 8 6 2 9 1 5 4 1 4
Antanas Zukauskas 1 5 7 10 10 10 1 10 2 4 3
Paulius Kavaliauskas 7 3 2 2 4 3 6 6 8 8 6
Kazys Zukauskas 8 2 1 1 8 3 5 5 3 3 5
Lukas Zukauskas 6 7 10 6 3 9 4 2 4 3 8
Darius Brazinskas 2 8 6 10 10 6 6 3 3 4 10
Paulius Jankauskas 1 9 10 7 7 4 6 6 8 4 3
Antanas Stankevicius 6 1 9 10 2 5 8 3 2 5 7
Antanas Brazinskas 6 5 9 4 2 9 4 3 8 2 2
Paulius Kavolis 9 7 7 9 5 5 9 1 4 8 7
Kazys Jankauskas 9 2 6 5 4 1 10 7 1 5 9
Antanas Petraitis 8 9 5 2 7 2 2 1 3 4 3
Darius Kavaliauskas 4 6 4 3 5 9 2 10 9 6 7
Darius Stankevicius 7 6 3 1 10 8 10 7 2 10 10
Marius Stankevicius 9 5 4 9 6 6 5 9 9 6 8
Jonas Jonaitis 7 6 10 7 9 5 5 10 3 2 9
Paulius Kazlauskas 9 6 8 7 7 10 5 6 9 1 6
Petras Petraitis 5 9 1 1 5 10 4 6 5 6 3
Jonas Zukauskas 6 9 10 8 8 10 2 3 3 10 3
Marius Kavolis 4 4 9 10 9 10 7 4 4 2 9
Paulius Kavaliauskas 2 9 3 1 6 1 1 7 5 8 5
Darius Jonaitis 2 5 6 3 1 10 7 10 6 9 7
Paulius Zukauskas 7 8 4 3 1 4 7 5 8 10 9
Kazys Petraitis 6 10 1 9 7 9 3 2 9 4 2
Tomas Kavaliauskas 2 2 5 1 10 8 9 3 10 5 9
Tomas Zukauskas 5 5 1 9 6 8 5 2 3 7 9
Paulius Stankevicius 1 2 10 6 8 5 4 2 10 1 9
Antanas Petraitis 7 6 1 9 10 6 5 9 5 4 4
Tomas Brazinskas 8 8 5 7 10 4 8 8 8 9 4
Lukas Jankauskas 3 7 10 6 10 4 7 4 1 9 1
Paulius Stankevicius 8 9 1 3 7 1 10 6 9 7 8
Lukas Petraitis 6 7 9 8 5 8 3 8 4 7 5
Mantas Kavaliauskas 4 4 10 3 5 7 9 9 1 2 5
Jonas Zukauskas 7 6 6 3 6 1 9 3 6 3 4
Paulius Zukauskas 5 6 5 9 2 8 3 2 10 1 3
Kazys Zukauskas 4 6 4 6 6 5 1 4 1 5 6
Paulius Jankauskas 7 4 7 3 6 3 2 3 3 7 3
Lukas Petraitis 9 9 6 9 1 3 6 3 1 9 3
Tomas Jonaitis 9 7 5 7 6 3 9 4 10 5 1
Lukas Kavolis 3 9 9 10 4 6 1 6 3 10 2
Antanas Jonaitis 1 2 3 10 3 9 1 9 10 1 4
Jonas Kavaliauskas 10 1 1 2 2 10 7 8 4 10 1
Antanas Kavaliauskas 1 7 7 2 10 8 2 10 5 5 9
Petras Petraitis 10 6 4 8 5 5 3 3 5 2 7
Kazys Brazinskas 7 6 7 9 7 4 3 3 4 7 8
Petras Brazinskas 9 5 8 9 6 2 9 6 4 1 10
Paulius Petraitis 5 2 5 8 2 8 8 3 8 7 10
Lukas Zukauskas 6 9 5 4 7 2 2 4 3 6 4
Kazys Brazinskas 7 6 3 3 2 1 8 5 8 3 8
Paulius Petraitis 5 1 4 2 4 2 4 9 4 10 5
Petras Kavaliauskas 10 5 2 2 5 10 1 1 4 5 8
Petras Brazinskas 7 7 2 7 2 9 2 2 7 8 6
Kazys Kazlauskas 9 4 10 3 8 2 5 7 7 4 9
Antanas Jankauskas 1 7 1 6 4 1 9 9 5 8 5
Lukas Stankevicius 6 3 4 7 8 9 2 7 7 5 10
Mantas Jankauskas 6 6 3 3 10 10 7 4 5 5 6
Jonas Stankevicius 5 10 5 10 10 7 3 5 10 10 4
Kazys Kazlauskas 7 9 4 3 5 1 8 6 5 6 9
Darius Jankauskas 6 1 10 8 2 1 3 5 6 10 4
Paulius Kazlauskas 3 2 3 10 10 8 1 7 8 1 6
Tomas Brazinskas 10 3 6 4 3 9 7 6 7 9 6
Mantas Kavaliauskas 1 5 3 7 9 9 6 5 6 3 8
Lukas Brazinskas 3 5 7 7 9 9 6 9 7 1 10
Antanas Kazlauskas 4 9 3 7 3 2 4 9 6 9 9
Paulius Kazlauskas 6 1 2 9 3 7 3 8 2 10 9
Kazys Stankevicius 10 7 3 2 1 5 10 6 2 7 7
Petras Kazlauskas 6 6 10 3 8 5 9 8 7 3 7
Antanas Jankauskas 2 9 8 3 6 1 10 9 8 4 9
Mantas Zukauskas 7 2 1 10 5 1 2 10 4 5 1
Marius Stankevicius 4 4 3 3 9 4 1 8 7 7 1
Marius Jankauskas 5 3 8 2 3 6 7 1 1 3 7
Darius Jankauskas 8 5 9 7 10 1 9 5 9 10 7
Mantas Jankauskas 7 1 1 4 6 5 3 5 2 4 10
Darius Kavolis 5 5 5 1 10 3 10 7 8 3 3
Mantas Jonaitis 3 2 1 1 10 1 1 7 1 9 6
Jonas Petraitis 2 2 10 10 3 7 8 2 5 6 4
Lukas Stankevicius 8 9 3 4 10 8 5 10 4 4 2
Marius Zukauskas 2 6 1 4 3 3 8 3 1 3 4
Paulius Stankevicius 3 10 8 1 8 8 2 4 1 4 4
Mantas Petraitis 1 5 5 9 4 6 2 4 10 10 4
Darius Kavolis 7 9 6 1 10 10 2 7 6 5 1
Mantas Kazlauskas 10 2 3 10 7 7 3 5 2 1 9
Tomas Jonaitis 5 5 7 4 1 5 4 10 3 2 10
Darius Brazinskas 2 9 5 4 7 1 7 4 4 7 8
Antanas Brazinskas 2 6 6 1 10 4 6 1 4 2 4
Jonas Kavaliauskas 9 9 8 9 2 9 8 3 3 5 9
Lukas Kavaliauskas 10 9 3 8 4 1 6 9 2 1 1
Paulius Jonaitis 2 1 6 5 6 8 5 2 10 7 4
Tomas Petraitis 10 3 8 1 4 4 2 9 10 10 10
Mantas Kavolis 5 8 1 3 8 5 5 5 8 4 5
Petras Jonaitis 6 7 4 8 8 1 5 9 6 3 2
Tomas Brazinskas 7 1 3 3 5 10 10 1 10 6 6
Jonas Kavolis 9 7 3 2 8 9 10 4 7 10 10
Petras Kazlauskas 5 4 4 10 9 3 9 9 7 8 2
Lukas Kavaliauskas 5 4 9 2 9 2 5 10 6 10 6
Darius Kavaliauskas 3 9 10 8 2 9 5 4 9 7 5
Antanas Jonaitis 9 3 5 4 7 2 6 6 7 6 1
Mantas Stankevicius 9 9 4 1 5 1 4 1 5 10 6
Antanas Kazlauskas 2 6 9 7 7 4 8 5 7 9 7
Kazys Jankauskas 10 9 2 5 6 5 3 8 3 6 2
Marius Kavaliauskas 3 7 1 9 2 6 4 1 1 5 3
Paulius Brazinskas 3 8 9 6 7 6 5 7 4 7 4
Darius Jonaitis 8 10 8 5 2 5 4 8 3 10 7
Petras Jonaitis 5 1 2 7 8 5 5 10 1 2 6
Lukas Stankevicius 9 9 2 4 5 6 4 5 5 6 9
Petras Kavolis 7 10 7 2 6 1 4 6 7 4 1
Tomas Kazlauskas 4 3 3 7 5 6 1 3 1 7 1
Lukas Kavaliauskas 5 3 5 10 4 2 8 5 7 2 7
Darius Jankauskas 7 4 8 8 2 6 8 2 5 6 8
Petras Stankevicius 6 8 2 7 1 10 8 1 2 3 2
Jonas Zukauskas 3 3 5 9 9 5 4 1 3 1 6
Darius Kavolis 2 8 4 4 2 7 8 1 10 10 6
Lukas Petraitis 2 4 9 7 7 2 8 10 10 2 2
Antanas Petraitis 3 10 2 6 8 1 2 2 4 8 7
Antanas Kavaliauskas 10 9 5 8 3 4 8 3 8 7 7
Tomas Zukauskas 1 8 7 10 4 2 5 1 6 6 1
Darius Jankauskas 8 2 9 8 3 6 2 4 2 1 10
Antanas Brazinskas 9 6 5 3 1 9 9 7 7 8 1
Darius Stankevicius 6 7 2 5 5 8 9 9 4 2 5
Kazys Kavolis 6 5 2 5 10 9 8 6 1 2 6
Tomas Kavaliauskas 9 4 3 5 4 6 10 4 10 8 10
Darius Jonaitis 1 8 2 2 9 10 6 9 1 8 2
Lukas Zukauskas 8 9 9 5 7 3 3 5 3 4 7
Paulius Stankevicius 6 6 6 10 10 3 10 4 9 1 8
Tomas Brazinskas 1 9 7 3 1 5 1 8 5 1 4
Kazys Zukauskas 6 6 9 2 3 6 6 10 9 1 7
Mantas Petraitis 9 8 7 3 10 6 5 5 7 1 8
Antanas Jankauskas 9 4 9 10 3 7 5 6 5 6 3
Paulius Jankauskas 10 10 1 3 4 3 10 8 2 6 4
Tomas Zukauskas 8 2 1 10 7 10 9 10 9 5 1
Lukas Kazlauskas 7 1 10 2 4 8 8 9 3 5 9
Mantas Stankevicius 8 8 3 7 3 5 9 5 7 10 3
Mantas Petraitis 5 1 10 1 2 9 7 4 10 8 4
Tomas Petraitis 4 7 10 7 6 5 8 4 6 10 8
Kazys Stankevicius 2 4 7 4 2 7 9 10 8 10 10
Darius Jonaitis 9 6 9 3 4 6 8 7 5 2 6
Mantas Kazlauskas 5 3 5 6 4 4 1 3 3 2 4
Marius Jankauskas 8 4 1 2 9 3 1 3 10 8 4
Petras Kazlauskas 5 5 9 1 4 8 4 1 4 8 8
Kazys Kavaliauskas 7 10 6 1 6 1 10 6 9 5 10
Antanas Zukauskas 10 7 9 7 9 10 10 5 6 8 9
Darius Kazlauskas 10 4 3 10 6 2 5 5 10 3 10
Jonas Brazinskas 10 10 4 6 8 6 3 9 2 5 5
Kazys Jonaitis 8 10 3 1 10 7 1 1 4 10 7
Kazys Kazlauskas 3 7 3 8 1 5 8 1 1 1 6
Tomas Jankauskas 9 10 2 7 5 4 8 8 8 2 7
Lukas Jankauskas 5 2 3 9 4 8 7 1 5 3 3
Marius Jonaitis 6 10 9 2 8 3 7 5 8 4 6
Jonas Kazlauskas 2 3 2 10 9 10 7 10 4 8 9
Darius Kazlauskas 1 1 4 1 6 8 5 9 10 10 9
Lukas Petraitis 1 1 7 3 10 2 9 2 5 6 8
Kazys Kavaliauskas 1 4 8 2 8 5 5 6 4 8 7
Paulius Kazlauskas 6 10 10 2 8 2 5 4 2 1 4
Antanas Brazinskas 7 2 1 4 9 6 3 1 4 4 4
Lukas Kazlauskas 6 1 9 2 5 1 3 5 9 6 1
Jonas Kavaliauskas 2 5 10 4 3 3 6 5 10 5 9
Kazys Kavaliauskas 6 4 8 9 1 8 5 4 9 2 2
Lukas Kavaliauskas 1 7 10 6 4 3 4 2 3 8 2
Jonas Kavaliauskas 8 9 10 3 1 8 2 7 7 10 5
Marius Stankevicius 9 10 3 1 2 5 9 2 1 4 8
Paulius Jankauskas 1 3 6 6 10 3 2 2 3 7 2
Marius Jankauskas 6 2 7 1 1 5 6 4 10 8 2
Paulius Kavolis 3 1 6 5 7 3 2 5 2 8 9
Marius Kazlauskas 10 4 10 3 3 10 7 10 7 3 2
Antanas Brazinskas 5 7 8 6 6 5 10 5 10 9 2
Darius Stankevicius 8 9 4 7 4 8 4 3 2 10 3
Antanas Jonaitis 3 8 7 1 4 8 1 4 9 2 8
Antanas Zukauskas 8 8 4 7 10 6 2 9 10 10 2
Kazys Jonaitis 9 6 8 2 3 7 5 1 7 7 4
Lukas Kavolis 7 7 7 7 5 1 9 7 4 10 4
Lukas Kavolis 2 7 7 1 7 9 9 6 1 6 9
Kazys Stankevicius 6 5 4 8 8 2 2 10 10 9 7
Lukas Stankevicius 4 1 5 5 1 6 9 9 3 7 5
Lukas Zukauskas 3 5 4 3 7 3 2 9 3 10 1
Marius Stankevicius 1 4 2 5 5 9 10 1 10 4 1
Tomas Kavolis 7 8 10 2 7 6 7 5 8 5 6
Mantas Kazlauskas 8 8 9 4 3 10 1 6 3 7 1
Paulius Petraitis 7 7 3 10 4 6 2 2 1 8 9
Jonas Petraitis 8 1 2 10 2 7 3 7 5 8 3
Paulius Brazinskas 2 3 7 9 4 1 9 7 5 4 10
Lukas Stankevicius 9 8 2 10 2 3 2 1 10 7 8
Paulius Jonaitis 4 10 1 6 9 8 9 4 4 4 10
Petras Petraitis 3 5 1 6 3 10 5 8 9 3 10
Paulius Kavaliauskas 8 3 5 5 4 8 1 7 2 1 1
Jonas Jankauskas 3 6 3 10 4 1 2 2 2 10 3
Kazys Petraitis 2 5 4 7 8 5 10 1 8 6 9
Tomas Petraitis 2 6 10 2 6 7 7 7 6 9 3
Tomas Zukauskas 9 4 4 3 7 4 8 6 4 4 9
Kazys Jankauskas 3 4 3 8 6 6 5 4 3 2 10
Antanas Petraitis 5 7 5 9 9 4 5 4 2 10 1
Lukas Jankauskas 10 7 10 7 10 8 8 5 6 1 7
Antanas Zukauskas 7 1 7 8 8 7 8 8 9 8 9
Kazys Jonaitis 2 3 6 3 9 9 10 2 9 10 9
Petras Kazlauskas 9 6 2 9 2 8 1 1 1 1 3
Marius Zukauskas 1 6 10 9 10 3 8 3 7 2 6
Tomas Petraitis 5 6 4 4 10 7 2 7 8 1 2
Kazys Stankevicius 4 3 6 2 8 7 1 8 7 9 3
Kazys Stankevicius 4 4 7 10 1 4 7 4 3 10 5
Lukas Kavolis 2 10 8 9 4 5 6 7 2 2 9
Kazys Jonaitis 4 7 10 7 6 10 8 9 1 7 5
Antanas Kavaliauskas 9 8 10 8 10 4 4 5 10 9 4
Jonas Kavolis 4 6 5 5 5 7 4 6 2 4 6
Paulius Jonaitis 1 5 8 10 2 10 9 1 2 10 8
Mantas Kavolis 2 6 9 1 6 7 7 3 10 2 10
Jonas Petraitis 7 9 2 10 2 5 10 2 2 4 9
Lukas Kavaliauskas 10 4 6 3 2 4 5 7 6 7 1
Darius Kavolis 3 7 4 5 9 9 9 3 6 6 6
Kazys Jonaitis 8 4 5 10 9 6 7 7 8 5 1
Paulius Zukauskas 1 8 10 1 10 3 6 3 10 4 6
Mantas Kavolis 2 3 8 6 9 8 2 2 5 10 1
Lukas Zukauskas 2 8 6 4 4 7 7 2 3 9 5
Lukas Petraitis 5 7 7 5 2 3 4 9 7 7 2
Darius Jonaitis 6 4 5 5 7 9 9 9 4 5 7
Tomas Jonaitis 4 6 1 5 3 4 8 2 8 6 9
Mantas Jankauskas 4 7 4 9 6 4 1 7 9 4 8
Paulius Zukauskas 9 7 1 2 5 6 2 4 1 6 9
Lukas Stankevicius 10 1 3 3 8 4 4 2 6 4 8
Paulius Kavolis 8 8 7 10 5 3 7 7 5 4 1
Mantas Kavaliauskas 1 4 5 8 7 2 7 2 10 8 1
Mantas Stankevicius 5 1 1 7 8 3 2 5 7 8 5
Petras Jonaitis 7 7 9 3 4 8 5 6 1 8 8
Darius Jonaitis 10 8 5 6 5 8 4 7 2 10 7
Jonas Zukauskas 9 3 9 6 8 1 2 8 10 2 10
Petras Kavaliauskas 10 9 9 9 1 5 3 1 6 6 3
Petras Kavolis 7 1 9 5 9 10 5 8 3 10 2
Jonas Stankevicius 6 9 7 7 6 3 7 3 7 4 10
Tomas Zukauskas 5 5 6 7 3 2 4 10 4 5 3
Petras Brazinskas 5 3 1 10 6 6 7 6 6 8 6
Lukas Brazinskas 3 10 7 7 10 2 1 7 2 5 2
Petras Petraitis 6 5 5 4 2 5 6 2 9 10 1
Jonas Stankevicius 4 4 2 3 8 8 8 6 3 2 4
Tomas Zukauskas 3 9 10 7 9 6 3 1 6 5 2
Mantas Stankevicius 4 6 10 8 3 5 5 10 4 7 2
Jonas Petraitis 5 6 1 7 5 6 10 6 9 10 7
Lukas Kavaliauskas 7 8 10 9 5 5 4 4 7 10 5
Marius Kavolis 5 6 10 7 6 7 10 2 5 3 1
Jonas Jonaitis 3 2 10 5 6 4 1 10 8 9 10
Lukas Kazlauskas 2 3 1 4 10 3 10 6 2 10 3
Kazys Kavaliauskas 4 6 2 3 10 2 4 8 7 9 9
Mantas Kazlauskas 7 2 1 10 7 7 3 4 10 10 9
Lukas Petraitis 2 3 5 7 8 9 2 4 3 7 3
Lukas Kavaliauskas 7 1 6 8 9 9 5 2 9 5 4
Mantas Brazinskas 7 6 9 8 3 8 8 5 9 6 3
Marius Stankevicius 8 4 1 6 4 6 3 6 7 7 9
Petras Brazinskas 8 10 10 6 9 9 9 9 5 1 8
Tomas Jonaitis 8 8 1 1 5 7 10 3 2 3 8
Mantas Jonaitis 9 9 8 8 6 7 9 2 6 3 10
Lukas Kazlauskas 3 8 6 6 7 3 3 6 9 4 5
Darius Stankevicius 8 1 1 5 8 6 7 1 7 2 3
Kazys Kavolis 8 2 8 9 9 2 1 10 9 10 2
Paulius Zukauskas 2 2 6 1 3 10 4 1 3 1 7
Mantas Petraitis 6 3 2 2 8 8 6 8 9 6 7
Paulius Kavolis 7 8 4 10 10 6 10 3 3 7 10
Petras Jankauskas 1 8 2 4 3 4 5 5 6 1 4
Mantas Petraitis 10 3 2 4 8 4 3 3 4 6 3
Marius Kazlauskas 10 3 10 3 4 4 9 5 3 6 5
Antanas Jonaitis 8 8 3 1 10 9 6 6 9 2 4
Lukas Jankauskas 5 5 9 2 8 9 4 9 2 6 4
Tomas Kavolis 9 4 8 3 6 6 4 2 2 7 8
Mantas Brazinskas 8 2 4 2 7 3 8 1 4 7 1
Tomas Brazinskas 8 1 9 9 4 10 9 4 10 4 9
Tomas Stankevicius 6 10 1 7 9 4 10 6 9 7 1
Mantas Stankevicius 2 8 8 7 3 4 5 5 10 7 10
Petras Jankauskas 9 3 1 10 9 4 2 10 9 6 9
Darius Kavaliauskas 3 9 8 6 9 9 9 10 5 4 6
Tomas Jankauskas 8 9 6 10 6 9 2 4 5 4 6
Tomas Kavolis 6 8 7 5 1 5 6 9 1 5 1
Antanas Petraitis 10 3 5 1 2 5 8 4 7 8 3
Petras Brazinskas 7 9 4 2 10 3 1 6 7 5 4
Petras Jonaitis 8 4 5 7 8 9 3 6 10 3 5
Mantas Stankevicius 3 9 6 8 3 2 9 7 4 2 6
Lukas Kavaliauskas 8 3 5 7 3 7 9 5 8 8 6
Marius Jonaitis 6 2 8 7 7 1 7 3 4 4 5
Marius Zukauskas 1 10 5 4 7 8 5 3 9 6 6
Darius Kavaliauskas 3 7 9 9 3 4 2 9 2 1 10
Paulius Jankauskas 2 10 5 7 8 5 1 7 8 10 6
Jonas Kavolis 3 8 10 2 4 8 5 3 6 8 9
Darius Brazinskas 7 6 9 6 3 1 6 6 2 10 8
Paulius Jonaitis 3 9 8 5 10 2 10 6 7 10 1
Jonas Stankevicius 9 4 9 3 1 7 8 8 4 8 2
Jonas Petraitis 10 1 2 5 5 10 8 1 8 5 4
Tomas Petraitis 1 5 5 6 10 3 8 10 10 2 4
Lukas Petraitis 1 6 3 5 8 6 1 7 9 4 4
Jonas Jankauskas 9 8 2 5 9 7 7 1 8 6 3
Mantas Kavaliauskas 6 7 8 7 4 6 7 4 5 4 6
Antanas Jankauskas 2 7 7 3 9 10 8 6 3 5 9
Lukas Jonaitis 7 9 3 6 3 9 7 4 3 3 4
Lukas Jonaitis 9 8 3 1 5 8 5 10 2 3 4
Antanas Brazinskas 2 5 5 7 1 10 1 9 7 9 2
Tomas Zukauskas 1 5 8 9 9 5 9 5 8 9 3
Marius Brazinskas 4 2 5 2 5 4 1 6 5 6 5
Jonas Kavaliauskas 6 9 8 3 3 3 4 5 8 6 3
Petras Jonaitis 5 9 9 5 9 2 5 4 6 4 8
Paulius Jonaitis 1 9 9 10 9 6 7 10 9 10 6
Jonas Jonaitis 3 10 6 5 6 3 2 3 6 7 5
Jonas Jonaitis 4 6 6 4 9 6 8 9 3 3 7
Darius Kavolis 1 10 3 5 5 1 7 3 6 9 3
Kazys Jankauskas 2 4 4 6 4 10 2 5 7 10 6
Jonas Jonaitis 6 1 2 3 2 4 6 2 3 3 7
Darius Stankevicius 1 7 5 1 2 5 7 3 10 2 7
Mantas Kavaliauskas 9 6 3 5 9 6 3 8 10 4 2
Petras Stankevicius 5 2 1 8 3 9 8 3 7 7 4
Jonas Kavaliauskas 7 6 4 1 7 3 4 1 6 3 1
Antanas Petraitis 7 8 3 1 5 2 10 10 5 8 1
Darius Stankevicius 8 1 3 7 1 4 3 3 5 6 5
Lukas Stankevicius 6 4 3 2 1 7 10 7 6 1 10
Jonas Kavaliauskas 2 9 8 6 3 2 1 8 1 2 4
Kazys Brazinskas 9 1 4 1 2 5 5 10 4 8 2
Darius Brazinskas 3 9 5 7 4 9 10 6 5 5 9
Darius Petraitis 10 8 2 8 4 6 10 3 9 1 5
Antanas Petraitis 7 7 2 7 8 5 2 7 3 1 3
Mantas Jonaitis 4 1 10 10 10 9 2 8 3 1 1
Lukas Stankevicius 4 9 6 9 10 4 2 8 5 9 8
Antanas Petraitis 3 7 7 2 5 7 2 1 10 8 1
Marius Zukauskas 3 4 1 1 1 3 6 7 2 1 3
Kazys Jonaitis 4 4 8 2 3 7 7 2 10 3 2
Petras Kavaliauskas 5 5 8 10 9 7 8 5 3 8 10
Darius Brazinskas 7 7 10 1 8 5 3 7 8 6 6
Lukas Jonaitis 10 3 7 10 7 4 10 4 2 8 7
Darius Jonaitis 1 3 5 9 8 5 2 2 10 1 1
Marius Brazinskas 4 1 8 4 3 4 1 9 9 6 8
Darius Petraitis 1 2 2 1 9 9 8 5 10 1 9
Lukas Brazinskas 7 4 3 3 1 9 2 3 9 10 7
Antanas Kavolis 1 4 2 7 8 8 10 3 9 3 7
Tomas Kavaliauskas 8 1 6 6 6 6 9 7 10 6 5
Tomas Zukauskas 9 1 10 10 7 1 8 4 6 7 3
Paulius Jonaitis 9 3 2 2 2 1 3 6 6 3 9
Kazys Petraitis 8 4 8 1 7 7 6 4 9 1 2
Paulius Zukauskas 3 4 8 6 6 4 3 9 1 7 2
Paulius Kazlauskas 9 2 2 3 6 2 2 7 7 6 1
Mantas Zukauskas 9 7 9 2 2 8 6 8 4 1 4
Tomas Brazinskas 9 7 10 10 5 3 9 10 5 5 1
Petras Petraitis 1 2 8 2 3 8 2 5 7 6 5
Paulius Kavaliauskas 10 10 3 9 6 7 1 10 3 3 8
Mantas Jankauskas 6 1 2 7 2 5 7 1 5 6 10
Paulius Jankauskas 6 1 2 10 4 2 3 9 4 10 10
Kazys Kavolis 2 4 9 8 6 1 9 6 4 1 6
Petras Petraitis 9 4 9 4 2 1 10 9 1 5 7
Darius Kazlauskas 5 2 9 3 8 3 8 7 6 3 10
Kazys Brazinskas 3 5 9 3 8 7 1 2 8 3 4
Jonas Zukauskas 4 8 2 10 3 5 8 6 4 5 5
Paulius Kazlauskas 4 1 8 3 10 9 6 10 4 4 9
Tomas Brazinskas 1 9 8 7 1 2 1 9 10 8 2
Darius Zukauskas 7 2 6 10 10 6 1 2 6 4 5
Marius Kazlauskas 10 2 5 10 7 3 7 2 8 3 9
Lukas Kavolis 6 1 4 1 2 5 7 6 2 6 10
Petras Brazinskas 9 8 6 9 7 6 3 1 6 8 4
Antanas Petraitis 9 5 7 2 1 4 9 8 9 3 1
Petras Kavaliauskas 1 3 3 7 9 2 1 5 3 2 4
Marius Kavaliauskas 1 9 4 8 1 10 5 2 7 2 1
Petras Jonaitis 3 7 6 3 6 5 2 9 5 1 9
Antanas Jankauskas 5 7 3 10 6 8 8 10 1 2 8
Tomas Brazinskas 2 4 7 2 10 4 6 7 4 8 1
Jonas Kazlauskas 5 6 6 1 9 8 7 10 4 7 8
Lukas Jankauskas 10 3 8 3 5 5 10 2 6 3 8
Kazys Zukauskas 5 8 3 3 6 8 1 4 9 4 8
Petras Petraitis 7 6 4 10 4 8 4 1 2 2 3
Petras Zukauskas 9 9 1 5 4 5 7 10 4 9 9
Darius Kazlauskas 6 9 8 6 8 6 4 8 2 4 7
Kazys Petraitis 3 1 2 10 6 8 1 10 3 9 9
Mantas Kavaliauskas 2 3 1 9 8 7 3 2 2 5 9
Darius Petraitis 2 4 7 7 3 10 2 2 9 1 6
Marius Kazlauskas 6 2 2 1 9 7 2 3 9 5 8
Darius Zukauskas 4 1 7 7 6 3 10 10 9 9 10
Darius Jonaitis 2 5 6 9 10 9 8 6 6 4 9
Kazys Kavaliauskas 4 8 7 9 9 10 4 7 9 2 5
Lukas Kavolis 8 8 3 9 3 4 2 8 1 2 6
Kazys Zukauskas 2 2 2 9 6 6 4 3 7 6 2
Darius Petraitis 6 3 3 7 7 10 6 1 2 10 2
Jonas Stankevicius 4 1 4 3 10 2 1 8 8 4 1
Mantas Petraitis 5 8 9 7 10 7 1 10 6 7 10
Lukas Jonaitis 5 1 9 5 2 8 6 4 8 10 5
Kazys Petraitis 9 2 8 8 7 8 1 8 1 7 9
Paulius Kazlauskas 10 10 9 6 2 9 2 6 9 8 8
Mantas Brazinskas 5 4 1 8 8 6 10 1 8 9 3
